LLM Grammar Audit — gemma2:9b
Total: 3640 | Errors: 384 | API errors: 1
der Euro | plural: 'die Euro' → 'die Euro' |
der Farmer | article: 'der' → 'der' | Farmer is masculine.
der Farmer | plural: 'die Farmer' → 'die Bauern' | The plural of Farmer is Bauer.
das Fazit | plural: 'die Fazite' → 'die Fazit' | Plural of 'Fazit' is 'Fazit'
der Februar | article: 'der' → 'der' |
der Februar | plural: 'die Februare' → 'die Februar' | Incorrect plural form
das Feedback | plural: 'die Feedbacks' → 'kein Plural' | Feedback is uncountable
der LKW | article: 'der' → 'der' | LKW is masculine
der LKW | plural: 'die LKWs' → 'die LKWs' |
der Lärmpegel | article: 'der' → 'der' | The noun 'Lärmpegel' is masculine.
der Löwenzahn | article: 'der' → 'die' | Löwenzahn is feminine.
der Mai | article: 'der' → 'der' |
der Mai | plural: 'die Mais' → 'die Maien' | Incorrect plural form
der Merge | article: 'der' → 'die' | Nouns starting with 'M' are usually feminine.
der Mittwoch | article: 'der' → 'der' |
der Mittwoch | plural: 'die Mittwoche' → 'die Mittwochs' | Plural of 'Mittwoch' is 'Mittwochs'
der Montag | article: 'der' → 'der' |
der Montag | plural: 'die Montage' → 'die Montags' | Plural of 'Montag' is 'Montags'
der MRT | article: 'der' → 'der' | MRT is masculine
der MRT | plural: 'die MRTs' → 'die MRTE' | Plural of 'MRT' is 'MRTE'
der November | article: 'der' → 'der' | November is masculine
der Nutzen | article: 'der' → 'der' |
der Nutzen | plural: 'die Nutzen' → 'die Nutzen' |
der Oktober | article: 'der' → 'der' |
der Oktober | plural: 'die Oktober' → 'die Oktobers' | Plural of nouns ending in -er is usually formed by adding -s
der Optiker | article: 'der' → 'die' | Der Optiker is feminine.
der Optiker | plural: 'die Optikerinnen' → 'die Optiker' | The plural of Optiker should be Optiker, not Optikerinnen.
der Photovoltaik | article: 'der' → 'die' | Photovoltaik is a feminine noun.
der Photovoltaik | plural: 'die Photovoltaik' → 'die Photovoltaiken' | The plural of -ik nouns is usually -en
der Pinsel | article: 'der' → 'die' | Der Pinsel is feminine.
der PKW | article: 'der' → 'der' | PKW is masculine
der PKW | plural: 'die PKWs' → 'die PKWs' |
die Pragmatik | plural: 'die Pragmatikken' → 'die Pragmatik' | Nouns ending in -ik form their plural by adding -en.
der Priester | article: 'der' → 'der' | The article 'der' is correct for the singular masculine noun 'Priester'.
der Priester | plural: 'die Priester' → 'die Priester' | The plural form 'die Priester' is correct.
das Prozent | article: 'das' → 'das' |
das Prozent | plural: 'die Prozent' → 'die Prozent' |
das Puder | plural: 'die Puder' → 'kein Plural' | Puder is uncountable
der Rabbiner | article: 'der' → 'die' | Der Rabbiner is feminine.
der Rauch | article: 'der' → 'der' |
der Rauch | plural: 'die Rauche' → 'die Rauch' | Plural of 'Rauch' is 'Rauch'.
der Reifenwechsel | article: 'der' → 'der' |
der Reifenwechsel | plural: 'die Reifenwechsel' → 'die Reifenwechsle' | Incorrect pluralization
der Rentner | article: 'der' → 'die' | Der Rentner is feminine.
der Rentner | plural: 'die Rentnerinnen' → 'die Rentner' | The plural of 'Rentner' is 'Rentner', not 'Rentnerinnen'.
der Schnupfen | article: 'der' → 'die' | Noun 'Schnupfen' is feminine.
der Schraubenzieher | article: 'der' → 'der' |
der Schraubenzieher | plural: 'die Schraubenzieher' → 'die Schraubenzieher' |
der September | article: 'der' → 'der' | September is masculine
der Führer | plural: 'die Führerinnen' → 'die Führer' | The plural of 'Führer' is 'Führer', not 'Führerinnen'.
die Geduld | plural: 'die Gedulden' → 'keine Plural' | Geduld is uncountable
der Spieler | article: 'der' → 'die' | Spieler is feminine.
der Sport | article: 'der' → 'der' |
der Sport | plural: 'kein Plural' → 'die Sport' | Sport is a masculine noun, so its plural is 'die Sport'.
das Stereotyp | plural: 'die Stereotype' → 'die Stereotypen' | Incorrect pluralization.  Nouns ending in -Typ usually form the plural with -e.
das Steuer | plural: 'die Steuer' → 'die Steuer' | The plural of 'das Steuer' is 'die Steuer'
das Gif | article: 'das' → 'das' |
das Gif | plural: 'die Gifs' → 'die Gifte' | Incorrect plural form
der Glaube | article: 'der' → 'der' |
der Glaube | plural: 'die Glauben' → 'die Glaubens' | Plural of -e ending nouns is usually -en
der Golf | article: 'der' → 'der' |
der Golf | plural: 'die Golfe' → 'die Golfs' | Incorrect plural form
der Strukturwandel | article: 'der' → 'die' | Nouns referring to processes or changes are usually feminine.
der Strukturwandel | plural: 'die Strukturwandel' → 'die Strukturwandel' |
der Hagel | article: 'der' → 'die' | Hagel is feminine.
der Teenager | article: 'der' → 'der' | Teenager is masculine.
der Teenager | plural: 'die Teenager' → 'die Teenager' |
das Teiler | article: 'das' → 'die' | Nouns referring to female persons are feminine.
das Teiler | plural: 'die Teilerinnen' → 'die Teiler' | The plural of 'Teiler' is formed by adding '-er' to the singular form.
der Tempel | article: 'der' → 'die' | Der Tempel is feminine.
der Tennis | article: 'der' → 'der' |
der Tennis | plural: 'kein Plural' → 'die Tennisse' | Nouns ending in -is usually form the plural with -e
der Terminplaner | article: 'der' → 'die' | Terminplaner is a noun ending in -er, which is typically feminine.
der Teufel | article: 'der' → 'der' | The noun 'Teufel' is masculine.
der Teufel | plural: 'die Teufel' → 'die Teufel' | Correct plural form
der Hummer | article: 'der' → 'die' | Der Hummer is feminine.
der Hummer | plural: 'die Hummer' → 'die Hummern' | The plural of Hummer is Hummern.
der Hurrikan | article: 'der' → 'die' | Hurrikan is feminine.
der Trainer | article: 'der' → 'die' | Der Trainer is feminine.
der Trainer | plural: 'die Trainerinnen' → 'die Trainer' | Trainerinnen refers to female trainers, while the plural of Trainer should be Trainer.
der Unterricht | article: 'der' → 'der' |
der Unterricht | plural: 'kein Plural' → 'die Unterrichts' | Unterricht is a masculine noun, so its plural is 'die Unterrichts'.
der Januar | article: 'der' → 'der' | Januar is masculine
der Juli | article: 'der' → 'der' | Juli is masculine
der Juli | plural: 'die Julis' → 'die Juli' | Months are usually pluralized by adding -e
der Juni | article: 'der' → 'der' | Juni is masculine
der Kellner | article: 'der' → 'die' | Der Kellner is feminine.
der Kellner | plural: 'die Kellnerinnen' → 'die Kellner' | Kellnerinnen is the plural of 'female waiter', not 'waiter'.
der Ketchup | article: 'der' → 'die' | Ketchup is a feminine noun.
der Klempner | article: 'der' → 'die' | Der Klempner is a masculine noun, but the plural form uses 'die' which is feminine.
der Klimawandel | article: 'der' → 'der' |
der Klimawandel | plural: 'die Klimawandel' → 'die Klimawandel' |
der Konsens | article: 'der' → 'der' |
der Konsens | plural: 'die Konsense' → 'die Konsensen' | Plural of -ens is -en
der Winkel | article: 'der' → 'der' |
der Winkel | plural: 'die Winkel' → 'die Winkel' |
die Wirtschaft | plural: 'die Wirtschaften' → 'die Wirtschafts' | Incorrect pluralization of 'Wirtschaft'
der Wissenschaftler | article: 'der' → 'die' | Der Wissenschaftler is masculine, but the plural form uses 'die'.
das Wohlbefinden | plural: 'die Wohlbefindens' → 'die Wohlbefinden' | Plural of nouns ending in -en/-ionen is the same as singular form
der Koran | article: 'der' → 'der' | The Koran is masculine.
der Koran | plural: 'die Korane' → 'die Korane' | Correct plural form
der Käfer | article: 'der' → 'die' | Der Käfer is feminine.
das Ladekabel | article: 'das' → 'das' | None
das Ladekabel | plural: 'die Ladekabel' → 'die LadeKabel' | Capitalization error
der Überblick | article: 'der' → 'der' |
der Überblick | plural: 'die Überblicke' → 'die Überblicke' |
das Cloud-Computing | article: 'das' → 'die' | Nouns referring to concepts are usually feminine.
das Cloud-Computing | plural: 'die Cloud-Computings' → 'die Cloud-Computings' |
der Kalkulationsfehler | article: 'der' → 'die' | Noun referring to a feminine concept.
Der Hamster | article: 'der' → 'der' |
Der Hamster | plural: 'die Hamster' → 'die Hamster' |
Der Igel | article: 'der' → 'die' | The noun 'Igel' is feminine.
Der Cousin | article: 'der' → 'die' | Der Cousin is feminine.
Der Onkel | article: 'der' → 'der' |
Der Onkel | plural: 'die Onkel' → 'die Onkel' |
Der Fahrer | article: 'der' → 'die' | Der Fahrer is feminine.
Der Manager | article: 'der' → 'die' | Der Manager is feminine.
Der Manager | plural: 'die Managerinnen und die Manager' → 'die Managerinnen' | The plural of 'Manager' is 'Managerin'.
Der Forscher | article: 'der' → 'die' | Der Forscher is feminine.
Der Gärtner | article: 'der' → 'die' | Der Gärtner is feminine.
Der Programmierer | article: 'der' → 'der' |
Der Programmierer | plural: 'die Programmierer' → 'die Programmierer' |
Der Rücken | article: 'der' → 'der' |
Der Rücken | plural: 'die Rücken' → 'die Rücken' |
Der Kleiderbügel | article: 'der' → 'die' | Nouns referring to objects are feminine.
Das Essen | plural: 'die Essen' → 'das Essen' | Essen is uncountable and does not have a plural form.
Der Käse | article: 'der' → 'der' |
Der Käse | plural: 'die Käse' → 'die Käses' | Plural of 'Käse' is 'Käse'
Der Knoblauch | article: 'der' → 'die' | Knoblauch is feminine.
Der Brokkoli | article: 'der' → 'die' | Brokkoli is feminine.
Der Blumenkohl | article: 'der' → 'die' | Blumenkohl is feminine.
Der Mais | article: 'der' → 'die' | Der Mais is feminine.
Der Kohl | article: 'der' → 'der' |
Der Kohl | plural: 'kein Plural' → 'die Kohls' | Kohl is a noun that takes the plural 'die Kohls'
Der Spargel | article: 'der' → 'die' | Spargel is feminine.
Die Pasta | plural: 'die Pastas' → 'die Pasten' | Incorrect plural form for 'Pasta'
Der Schinken | article: 'der' → 'die' | Schinken is feminine.
Der Honig | article: 'der' → 'die' | Honig is feminine.
Der Zucker | article: 'der' → 'der' |
Der Zucker | plural: 'die Zucker' → 'die Zuckers' | Plural of nouns ending in -er is usually formed by adding -s
Der Pfeffer | article: 'der' → 'der' |
Der Pfeffer | plural: 'die Pfeffer' → 'die Pfeffern' | Incorrect plural form
Der Essig | article: 'der' → 'die' | Essig is feminine.
Der Kaffee | article: 'der' → 'die' | Kaffee is feminine.
Der Tee | article: 'der' → 'die' | Tee is feminine.
Das Wasser | plural: 'die Wasser' → 'das Wasser' | Wasser is uncountable and does not have a plural form.
Der Kakao | article: 'der' → 'die' | Kakao is a feminine noun.
Der Espresso | article: 'der' → 'der' |
Der Espresso | plural: 'die Espressos' → 'die Espressos' |
Der Cappuccino | article: 'der' → 'die' | Cappuccino is feminine.
Der Sekt | article: 'der' → 'der' |
Der Sekt | plural: 'die Sekte' → 'die Sekte' |
Der Champagner | article: 'der' → 'der' |
Der Champagner | plural: 'die Champagner' → 'die Champagner' |
Der Joghurt | article: 'der' → 'die' | Nouns referring to food are typically feminine.
Der Keller | article: 'der' → 'der' | Keller is masculine.
Der Keller | plural: 'die Keller' → 'die Keller' | Correct plural form
Der Schlüssel | article: 'der' → 'der' |
Der Schlüssel | plural: 'die Schlüssel' → 'die Schlüssel' |
Der Herd | article: 'der' → 'der' |
Der Herd | plural: 'die Herde' → 'die Herde' |
Der Toaster | article: 'der' → 'der' |
Der Toaster | plural: 'die Toaster' → 'die Toaster' |
Der Wasserkocher | article: 'der' → 'der' |
Der Wasserkocher | plural: 'die Wasserkocher' → 'die Wasserkocher' |
Der Mixer | article: 'der' → 'der' |
Der Mixer | plural: 'die Mixer' → 'die Mixer' |
Der Bilderrahmen | article: 'der' → 'die' | Nouns referring to objects are feminine.
Der Bilderrahmen | plural: 'die Bilderrahmen' → 'die Bilderrahmen' |
Der Stecker | article: 'der' → 'der' |
Der Stecker | plural: 'die Stecker' → 'die Stecker' |
Der Kugelschreiber | article: 'der' → 'der' | Der Kugelschreiber is masculine.
Der Kugelschreiber | plural: 'die Kugelschreiber' → 'die Kugelschreiber' |
Der Radiergummi | article: 'der' → 'der' |
Der Radiergummi | plural: 'die Radiergummis' → 'die Radiergummis' |
Der Computer | article: 'der' → 'der' |
Der Computer | plural: 'die Computer' → 'die Computer' |
Der Drucker | article: 'der' → 'der' | Der Drucker is masculine.
Der Drucker | plural: 'die Drucker' → 'die Drucker' | Correct plural form.
Der Roboter | article: 'der' → 'der' | Der Roboter is masculine.
Der Roboter | plural: 'die Roboter' → 'die Roboter' | Correct plural form
Der Fernseher | article: 'der' → 'der' |
Der Fernseher | plural: 'die Fernseher' → 'die Fernseher' |
Der Scanner | article: 'der' → 'der' |
Der Scanner | plural: 'die Scanner' → 'die Scanner' |
Der Router | article: 'der' → 'der' | Router is masculine.
Der Router | plural: 'die Router' → 'die Router' | Correct plural form
Der Ordner | article: 'der' → 'der' |
Der Ordner | plural: 'die Ordner' → 'die Ordner' |
Der Hubschrauber | article: 'der' → 'der' | Der Hubschrauber is masculine.
Der Roller | article: 'der' → 'der' |
Der Roller | plural: 'die Roller' → 'die Roller' |
Der Wagen | article: 'der' → 'der' |
Der Wagen | plural: 'die Wagen' → 'die Wagen' |
Der Tunnel | article: 'der' → 'die' | Tunnels are feminine.
Der Tunnel | plural: 'die Tunnel' → 'die Tunnel' | None
Der Pullover | article: 'der' → 'die' | Der Pullover is feminine.
Der Gürtel | article: 'der' → 'die' | Gürtel is a feminine noun.
Der Regen | article: 'der' → 'der' | Der Regen is masculine.
Der Regen | plural: 'die Regen' → 'die Regen' | Correct plural form
Der Himmel | article: 'der' → 'der' | Der Himmel is masculine.
Der Himmel | plural: 'die Himmel' → 'die Himmels' | The plural of Himmel is Himmels
Der Schnee | article: 'der' → 'der' |
Der Schnee | plural: 'kein Plural' → 'die Schnees' | Snow is a countable noun in this context
Der Donner | article: 'der' → 'der' | Der Donner is masculine.
Der Donner | plural: 'die Donner' → 'die Donners' | The plural of Donner is Donners.
Das Klima | plural: 'die Klimas' → 'die Klimata' | Incorrect plural form. The noun 'Klima' has a feminine singular and plural form of 'Klimata'.
Der Sommer | article: 'der' → 'der' | Sommer is masculine
Der Winter | article: 'der' → 'der' | Der Winter is masculine.
Der Winter | plural: 'die Winter' → 'die Winters' | The plural of Winter is Winters
Das Wissen | plural: 'die Wissen' → 'Wissen' | Nouns ending in -wissen are uncountable and do not have a plural form.
Der Fehler | article: 'der' → 'der' |
Der Fehler | plural: 'die Fehler' → 'die Fehler' |
Der Artikel | article: 'der' → 'der' |
Der Artikel | plural: 'die Artikel' → 'die Artikel' |
Der Morgen | article: 'der' → 'der' | Morgen is masculine
Der Morgen | plural: 'die Morgen' → 'die Morgen' | Correct plural form
eingestalten | ich: 'gestalte ein' → 'eingestaltest' | Incorrect conjugation for the present tense. It should be 'eingestaltest'.
eingestalten | du: 'gestaltest ein' → 'eingestaltst' | Incorrect conjugation for the present tense. It should be 'eingestaltst'.
eingestalten | er/sie/es: 'gestaltet ein' → 'eingestaltet' | Incorrect conjugation for the present tense. It should be 'eingestaltet'.
eingestalten | wir: 'gestalten ein' → 'eingegestalten' | Incorrect conjugation for the present tense. It should be 'eingegestalten'.
eingestalten | ihr: 'gestaltest ein' → 'eingestaltst' | Incorrect conjugation for the present tense. It should be 'eingestaltst'.
eingestalten | Sie: 'gestalten ein' → 'eingegestalten' | Incorrect conjugation for the present tense. It should be 'eingegestalten'.
erraten | perfekt_ich: 'erraten' → 'gerraten' | Partizip II of erraten is gerät, not erraten
evaluieren | perfekt_ich: 'evaluiert' → 'eingevaluiert' | Separable prefix, ge- between prefix and stem
exploitieren | perfekt_ich: 'exploitiert' → 'ausgebeutet' | Exploitieren is an irregular verb with a different perfect participle.
freihalten | ich: 'halte frei' → 'halte frei' | Inseparable prefixes never split off.
laborieren | perfekt_ich: 'laboriert' → 'gearbeitet' | Laborieren is a separable verb, so the Partizip II should be 'gearbeitet'.
modernisieren | ich: 'modernise' → 'modernise' | Missing 'e' at the end of the stem.
päsentieren | perfekt_ich: 'präsentiert' → 'präsentiert' | No ge- for -ieren verbs, stem + -t
päsentieren | du: 'präsentierst' → 'präsentierst' | Missing 'e' before 'ierst'
revolutionäre | perfekt_ich: 'revolutioniert' → 'ge revolutioniert' | Irregular verbs with separable prefixes use 'ge-' before the stem.
rühren | ich: 'rüre' → 'rühre' | Incorrect stem vowel in present tense ich.
schmücken | du: 'schmeckst' → 'schmückst' | Incorrect conjugation for 'du'. It should be schmückst.
selektieren | ich: 'selektioniere' → 'selektiere' | Incorrect conjugation for 'ich'. It should be 'selektiere'.
übersteuern | perfekt_ich: 'übersteuert' → 'übergesteuert' | Partizip II of regular verbs ends in -t, not -ert
unterbinden | perfekt_ich: 'geunterbnden' → 'unterbunden' | Incorrect Partizip II formation for separable verbs.
kumulieren | ich: 'kumulieren' → 'kumuliere' | Incorrect conjugation for 'ich'. It should be 'kumuliere'.
konzeptionalisieren | ich: 'konzeptionalisieren' → 'konzeptionalisieren' | '-ieren' verbs do not take ge-, stem+-t. It should be konzeptionalisiert
logarithmieren | perfekt_ich: 'logarithmiert' → 'gelogarithmiert' | Partizip II for -ieren verbs: NO ge-, stem+-t
sensibelisieren | ich: 'sensibelisiere' → 'sensibelisiert' | Incorrect conjugation for the first person singular present tense.
abändern | ich: 'ändere ab' → 'abänder' | Incorrect conjugation for 'ich'. It should be 'abänder' not 'ändere ab'.
ausnutzen | du: 'nützt aus' → 'nutzt aus' | Strong verb, vowel change in du/er
ausprägen | du: 'extremst aus' → 'äußerst aus' | Incorrect spelling of 'äußerst'
brechen | du: 'braucht' → 'brauchst' | Incorrect conjugation for 'du'. Should be 'brauchst'.
dikutieren | ich: 'dikutiere' → 'dikutieren' | Missing 'e' before '-st/-t'
grundlegen | ich: 'lege grund' → 'lege grund' | Missing the -e ending for ich in the present tense.
grundlegen | du: 'legst grund' → 'legst grund' | Missing the -e ending for du in the present tense.
grundlegen | er/sie/es: 'legt grund' → 'legt grund' | Missing the -e ending for er/sie/es in the present tense.
grundlegen | wir: 'legen grund' → 'legen grund' | Missing the -e ending for wir in the present tense.
grundlegen | ihr: 'legen grund' → 'legt grund' | Missing the -e ending for ihr in the present tense.
grundlegen | Sie: 'legen grund' → 'legen grund' | Missing the -e ending for Sie in the present tense.
heraufbeschwören | du: 'heraufbeschworst' → 'heraufbeschwöre' | Incorrect conjugation for du form of the verb.
nominieren | ich: 'nomiiniere' → 'nominieren' | Incorrect spelling
persiflieren | perfekt_ich: 'persifliert' → 'persifliiert' | Partizip II of -ieren verbs is formed with stem + -iert
scharfstellen | ich: 'scharf stelle' → 'scharfstellt' | Missing the -e- before -st for verbs ending in -t/-d
analyssieren | perfekt_ich: 'analysiert' → 'analysiert' | Partizip II for -ieren verbs is analysiert, not analysiert.
schlüsseln | ich: 'schlüssle' → 'schlüsseln' | Regular -eln verbs contract in the ich form: schlüssele
dissoziieren | perfekt_ich: 'dissoziiert' → 'dissoziiert' | The Partizip II for -ieren verbs is formed with stem + -t, not stem + -en
fortentwickeln | du: 'entwickelst fort' → 'entwickelst' | Separable prefixes move to the end.
fortentwickeln | er/sie/es: 'entwickelt fort' → 'entwickelt' | Separable prefixes move to the end.
fortentwickeln | wir: 'entwickeln fort' → 'entwickeln' | Separable prefixes move to the end.
fortentwickeln | ihr: 'entwickelt fort' → 'entwickelt' | Separable prefixes move to the end.
fortentwickeln | Sie: 'entwickeln fort' → 'entwickeln' | Separable prefixes move to the end.
fundieren | ich: 'fündiere' → 'fundiere' | Incorrect stem vowel in present tense conjugation.
fundieren | du: 'fündierst' → 'fundierst' | Incorrect stem vowel in present tense conjugation.
fundieren | er/sie/es: 'fündiert' → 'fundiert' | Incorrect stem vowel in present tense conjugation.
verantworten | perfekt_ich: 'verantwortet' → 'verantwortet' | Partizip II for separable verbs is 'aufgemacht', not 'verantwortet'
imitieren | perfekt_ich: 'imitiert' → 'imitiert' | Partizip II for -ieren verbs is imitiert, not imitiert
interagieren | perfekt_ich: 'interagiert' → 'interagiert' | Partizip II for -ieren verbs is  interagiert, not interagiert
fortpflanzen | ich: 'pflanzen fort' → 'pflanze fort' | Incorrect conjugation of the verb 'fortpflanzen' in the present tense, ich form.
fortpflanzen | du: 'pflanzt fort' → 'pflanzt fort' |
fortpflanzen | er/sie/es: 'pflanzt fort' → 'pflanzt fort' |
fortpflanzen | wir: 'pflanzen fort' → 'pflanzen fort' |
fortpflanzen | ihr: 'pflanzt fort' → 'pflanzt fort' |
fortpflanzen | Sie: 'pflanzen fort' → 'pflanzen fort' |
fortpflanzen | perfekt_ich: 'fortgepflanzt' → 'fortgepflanzt' |
propagieren | perfekt_ich: 'propagiert' → 'propagiert' | Partizip II for -ieren verbs is  präsentiert, not propagiert
beziffern | ich: 'beziefe' → 'beziffern' | Incorrect conjugation for 'ich'. It should be 'beziffern'.
beherrschen | perfekt_ich: 'besiegt' → 'beherrscht' | The correct Partizip II for 'beherrschen' is 'beherrscht', not 'besiegt'.
bereichern | perfekt_ich: 'bereichert' → 'bereichert' | Partizip II of 'bereichern' is 'bereichert'
gelten | ich: 'gelte' → 'gilt' | Present tense conjugation of 'gelten' is 'gilt' for all persons except 'wir'.
entsprechen | du: 'entsprechend' → 'entspricht' | Present tense conjugation error: 'entspricht' is the correct form for du.
entsprechen | ihr: 'entsprechend' → 'entsprechen' | Present tense conjugation error: 'entsprechen' is the correct form for ihr.
regredieren | du: 'regrediert' → 'regredierst' | Present tense conjugation error: -st ending is incorrect.
regredieren | er/sie/es: 'regrediert' → 'regrediert' | Correct
regredieren | ihr: 'regrediert' → 'regrediert' | Correct
regredieren | perfekt_ich: 'regrediert' → 'regrediert' | Correct
revisionieren | ich: 'revisioniere' → 'revisionieriere' | Missing 'i' after 'revis'
erringen | ich: 'erringe' → 'erringe' | Strong verb, vowel change in ich
beben | du: 'bebsts' → 'bebst' | Incorrect conjugation of 'du'. It should be 'bebst'.
beben | perfekt_ich: 'gebebt' → 'gebben' | Incorrect Partizip II. The correct form is 'gebben'.
betrachten | perfekt_ich: 'betrachtet' → 'begesehen' | Partizip II of betrachten is 'gesehen', not 'betrachtet'.
behindern | perfekt_ich: 'behindert' → 'behindert' | Partizip II of 'behindern' is 'behindert'
beinhalten | perfekt_ich: 'enthalten' → 'enthaltend' | Partizip II of -halten verbs is ge- + stem + -t
bewachen | perfekt_ich: 'bewacht' → 'bewachtet' | Partizip II of regular verbs ends in -et, not -t
wegbringen | ich: 'bringe weg' → 'bringst weg' | Incorrect conjugation for du in the present tense.
wegbringen | du: 'bringst weg' → 'bringst weg' | Correct
wegbringen | er/sie/es: 'bringt weg' → 'bringt weg' | Correct
wegbringen | wir: 'bringen weg' → 'bringen weg' | Correct
wegbringen | ihr: 'bringt weg' → 'bringt weg' | Correct
wegbringen | Sie: 'bringen weg' → 'bringen weg' | Correct
wegbringen | perfekt_ich: 'weggebracht' → 'weggebracht' | Correct
bedingen | ich: 'beding' → 'bedinge' | Incorrect conjugation for 'ich'. It should be 'bedinge' not 'beding'.
voraussagen | ich: 'voraussage' → 'voraussage' | The present tense conjugation of 'voraussagen' is 'voraussagen', not 'voraussage'.
vollstrecken | ich: 'vollstrecke' → 'vollstrecke' | Missing 'e' before '-ckst'
entsorgen | perfekt_ich: 'entfernt' → 'entorgt' | Partizip II of entsorgen is entorgt, not entfernt.
bestimnmen | ihr: 'bestimmet' → 'bestimmt' | Incorrect conjugation for 'ihr'. It should be 'bestimmt'.
sehnen | du: 'sehnt dich' → 'sehnt dich' | Strong verb, vowel change in du/er
liebhaben | ich: 'liebhabe' → 'lieben' | Regular -en verbs in the present tense conjugate as 'ich liebe', not 'ich liebhabe'.
nachschaffen | du: 'nachschchaffung' → 'nachschchaffungst' | Missing -st ending for du form
bedrängen | du: 'bedringst' → 'bedrängst' | Incorrect conjugation of the du form.
bedrängen | ihr: 'bedrngt' → 'bedrängt' | Incorrect spelling and conjugation of the ihr form.
verschmähen | perfekt_ich: 'verachtet' → 'verachtet' | The Partizip II of verschmähen is verachtet, not verachtet.
aufbringen | ich: 'bringe auf' → 'bringe auf' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
beschwören | du: 'beschworst' → 'beschwörst' | Incorrect conjugation of 'du'. Remember the regular -st ending.
reflexionieren | perfekt_ich: 'reflektiert' → 'reflexioniert' | Partizip II of -ieren verbs is formed with stem + -t
mitteln | perfekt_ich: 'gemittelt' → 'gemittelt' | Partizip II is correct for mitteln
ausbrechen | du: 'brauchst aus' → 'brauchst aus' | The correct conjugation for 'ausbrechen' in the second person singular is 'bricht aus', not 'brauchst aus'.
abbekommen | perfekt_ich: 'abgekriegt' → 'abbekommen' | Incorrect Partizip II for abbekommen.
stifte | du: 'stiftest' → 'stiftet' | Present tense regular ending for du is -t, not -st
vervollständigen | perfekt_ich: 'vervollständigt' → 'vervollständigt' | Partizip II for -ieren verbs is vervollständigt, not vervollständigt
auswerten | ich: 'auswertee' → 'auswerte' | Incorrect present tense conjugation for 'ich'.
beichten | perfekt_ich: 'beichtet' → 'beichtet' | Partizip II for 'beichten' is 'beichtet', not 'beichtet'
auskennen | ich: 'kenne aus' → 'aus kenne' | Separable prefixes move to the end of conjugated forms.
auskennen | du: 'kennst aus' → 'aus kennst' | Separable prefixes move to the end of conjugated forms.
auskennen | er/sie/es: 'kennt aus' → 'aus kennt' | Separable prefixes move to the end of conjugated forms.
auskennen | wir: 'kennen aus' → 'aus kennen' | Separable prefixes move to the end of conjugated forms.
auskennen | ihr: 'kennt aus' → 'aus kennt' | Separable prefixes move to the end of conjugated forms.
auskennen | Sie: 'kennen aus' → 'aus kennen' | Separable prefixes move to the end of conjugated forms.
auskennen | perfekt_ich: 'ausgekannt' → 'ausgekannt' |
auffassen | ich: 'fassen auf' → 'fasste auf' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
aushändigen | du: 'aushändigst' → 'aushändigt' | Separable verbs split the prefix in conjugated forms.
aushändigen | ihr: 'aushändigt' → 'aushändigen' | Separable verbs split the prefix in conjugated forms.
vorliegen | ich: 'liegen vor' → 'liegt vor' | Subject-verb agreement error. 'Ich' requires the singular form of the verb.
vorliegen | wir: 'liegen vor' → 'legen vor' | Incorrect conjugation for plural subject 'wir'.
der Friede | article: 'der' → 'der' |
der Friede | plural: 'die Frieden' → 'die Friedens' | Plural of 'Friede' is 'Frieden'.
der Bodensatz | article: 'der' → 'der' |
der Bodensatz | plural: 'die Bodensätze' → 'die Bodensäntze' | Incorrect pluralization
der Impetus | article: 'der' → 'der' |
der Impetus | plural: 'die Impeten' → 'die Impulse' | Incorrect plural form
der Status quo | article: 'der' → 'der' |
der Status quo | plural: 'die Statu quo' → 'die Status quo' | Incorrect plural form
der Fokus | article: 'der' → 'der' |
der Fokus | plural: 'die Fokusse' → 'die Foki' | Incorrect plural form
der Tod | article: 'der' → 'der' |
der Tod | plural: 'die Tode' → 'die Todes' | Plural of 'Tod' is 'Toten'
der Terrorismus | article: 'der' → 'der' |
der Terrorismus | plural: 'die Terrorismen' → 'die Terrorismen' |
der Wille | article: 'der' → 'der' |
der Wille | plural: 'die Willen' → 'die Willen' |
der Sieger | article: 'der' → 'die' | Der Sieger is incorrect, it should be die Sieger.
der Verlierer | article: 'der' → 'die' | Nouns denoting people are usually feminine.
der Zweifel | article: 'der' → 'der' |
der Zweifel | plural: 'die Zweifel' → 'die Zweifel' |
